City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Kasongo-Lunda,CD,-6.4667,16.8167,75.63,63,97,0.98,overcast clouds
219,Nuristan,AF,35.3,70.8333,37.2,68,85,9.4,overcast clouds
220,Sabzevar,IR,36.2126,57.6819,76.98,21,0,7.81,clear sky
221,Povenets,RU,62.8487,34.8262,37.51,73,94,6.06,overcast clouds
222,Kavaratti,IN,10.5669,72.642,82.51,78,100,10.11,overcast clouds
223,Kudahuvadhoo,MV,2.6708,72.8944,83.52,75,25,12.62,scattered clouds
224,College,US,64.8569,-147.8028,62.1,44,6,1.99,clear sky
225,Dapaong,TG,10.8639,0.205,83.57,53,90,16.71,overcast clouds
226,Lagoa,PT,39.05,-27.9833,61.18,92,100,14.65,light rain
227,Sembe,CG,1.6481,14.5806,71.96,99,100,5.1,heavy intensity rain
228,Smoky Lake,CA,54.1169,-112.4686,45.16,37,100,14.12,overcast clouds
229,Pangnirtung,CA,66.1451,-65.7125,35.1,89,100,1.88,overcast clouds
230,Torbay,CA,47.6666,-52.7314,53.89,63,100,10.2,overcast clouds
231,Maragogi,BR,-9.0122,-35.2225,79.92,83,64,6.22,broken clouds
232,Maningrida,AU,-12.0667,134.2667,72.81,88,0,8.86,clear sky
233,Maarianhamina,AX,60.0973,19.9348,49.86,57,0,1.14,clear sky
234,Sartana,UA,47.1744,37.6927,57.72,73,62,9.48,broken clouds
235,Chegdomyn,RU,51.1167,133.0167,44.8,96,100,1.05,light rain
236,Komsomolskiy,UZ,40.4272,71.7189,68.72,56,33,4.61,scattered clouds
237,Lodwar,KE,3.1191,35.5973,89.26,36,88,18.21,overcast clouds
238,Egvekinot,RU,66.3167,-179.1667,34.5,79,79,3.0,broken clouds
239,Bandarbeyla,SO,9.4942,50.8122,80.91,84,99,19.98,overcast clouds
240,Damara,CF,4.9608,18.7035,72.48,85,100,3.27,overcast clouds
241,Emerald,AU,-23.5333,148.1667,60.94,100,100,11.5,overcast clouds
242,Erdenet,MN,49.0333,104.0833,58.21,43,10,1.68,clear sky
243,Cockburn Town,TC,21.4612,-71.1419,84.16,70,75,11.5,broken clouds
244,Mier,MX,26.4333,-99.15,107.64,16,43,10.33,scattered clouds
245,Ostrovnoy,RU,68.0531,39.5131,31.68,69,99,7.05,overcast clouds
246,Beyneu,KZ,45.3167,55.2,61.02,56,68,15.97,broken clouds
247,Awjilah,LY,29.1081,21.2869,76.15,21,0,17.27,clear sky
248,Turmalina,BR,-17.2856,-42.73,76.32,18,1,1.68,clear sky
249,Padang,ID,-0.9492,100.3543,77.52,88,29,3.4,scattered clouds
250,Seydi,TM,39.4816,62.9137,81.99,16,0,5.35,clear sky
251,Wajid,SO,3.8093,43.2471,78.44,66,90,10.54,overcast clouds
252,Krasnoselkup,RU,65.7,82.4667,47.39,79,100,11.77,overcast clouds
253,Margate,GB,51.3813,1.3862,57.87,77,79,5.01,broken clouds
254,Riyadh,SA,24.6877,46.7219,96.94,10,0,6.13,clear sky
255,Okhotsk,RU,59.3833,143.3,34.07,93,98,2.62,overcast clouds
256,Tautira,PF,-17.7333,-149.15,79.38,73,12,9.51,light rain
257,Pochutla,MX,15.7432,-96.4661,94.82,34,90,13.38,overcast clouds
258,Port Elizabeth,ZA,-33.918,25.5701,57.49,97,100,7.0,heavy intensity rain
259,Bethel,US,41.3712,-73.414,74.17,75,20,12.66,few clouds
260,Kungurtug,RU,50.5994,97.5228,50.83,88,100,3.09,overcast clouds
261,Laguna,US,38.421,-121.4238,76.08,20,0,24.16,clear sky
262,Avarua,CK,-21.2078,-159.775,77.05,73,75,6.91,broken clouds
263,Molochnoye,RU,59.2917,39.6787,33.75,78,7,6.24,clear sky
264,Saint George,US,37.1041,-113.5841,72.25,14,0,8.01,clear sky
265,Half Moon Bay,US,37.4636,-122.4286,77.88,29,0,14.97,clear sky
266,Muzhi,RU,65.3667,64.6667,32.2,98,100,19.3,snow
267,Lamar,US,33.6668,-95.5836,91.63,62,75,21.85,broken clouds
268,Pombas,CV,17.1503,-25.0201,73.18,80,96,14.5,overcast clouds
269,Mnisek Pod Brdy,CZ,49.8665,14.2618,74.98,65,17,7.34,heavy intensity rain
270,Aklavik,CA,68.2191,-135.0107,43.11,75,100,1.32,overcast clouds
271,Ossora,RU,59.2353,163.0719,34.7,99,100,1.92,overcast clouds
272,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,70,91,5.97,overcast clouds
273,Rawson,AR,-43.3002,-65.1023,66.99,36,32,18.97,scattered clouds
274,Clarksburg,US,39.2807,-80.3445,86.11,62,100,13.18,overcast clouds
275,Verkhnevilyuysk,RU,63.4453,120.3167,41.95,78,90,1.43,overcast clouds
276,Lata,PT,40.1629,-8.3327,76.77,46,100,6.04,overcast clouds
277,Tuatapere,NZ,-46.1333,167.6833,45.57,84,92,17.81,overcast clouds
278,Baherden,TM,38.4362,57.4316,84.76,22,0,4.14,clear sky
279,Luau,AO,-10.7073,22.2247,66.6,47,0,2.75,clear sky
280,Zaozerne,UA,45.1582,33.2787,58.53,69,21,11.05,few clouds
281,Makat,KZ,47.6469,53.3463,54.3,75,93,15.77,light rain
282,Carballo,ES,43.213,-8.691,71.02,83,31,7.65,scattered clouds
283,San Patricio,US,28.017,-97.5169,92.12,45,10,22.5,clear sky
284,Altay,CN,47.8667,88.1167,58.91,56,4,6.46,clear sky
285,Vila Velha,BR,-20.3297,-40.2925,75.15,53,0,14.97,clear sky
286,Avera,US,33.194,-82.5271,91.45,32,100,13.24,overcast clouds
287,Balkanabat,TM,39.5108,54.3671,73.33,46,100,16.49,overcast clouds
288,Mbandaka,CD,0.0487,18.2603,70.99,97,100,0.6,overcast clouds
289,Phan Thiet,VN,10.9333,108.1,77.92,93,100,6.71,heavy intensity rain
290,Oxford,GB,51.7522,-1.256,60.06,76,20,18.41,few clouds
291,Sakaiminato,JP,35.55,133.2333,63.0,67,100,4.54,overcast clouds
292,Souillac,MU,-20.5167,57.5167,74.75,78,5,14.23,clear sky
293,Coahuayana,MX,18.7333,-103.6833,90.0,38,3,8.28,clear sky
294,Goksun,TR,38.021,36.4973,47.57,59,0,7.9,clear sky
295,Buala,SB,-8.145,159.5921,79.63,79,23,3.69,few clouds
