City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Sitka,US,2022-05-09 20:38:41,57.0531,-135.33,51.69,66,20,17.27
242,Olovyannaya,RU,2022-05-09 20:38:41,50.95,115.5667,28.81,86,97,17.98
243,Belen,TR,2022-05-09 20:38:42,36.4891,36.2233,59.14,72,40,14.97
244,Filadelfia,US,2022-05-09 20:37:17,39.9523,-75.1638,72.16,21,20,14.97
245,Ponta Do Sol,PT,2022-05-09 20:38:43,32.6667,-17.1,74.03,45,50,7.0
246,Maragogi,BR,2022-05-09 20:38:43,-9.0122,-35.2225,77.45,73,100,7.52
247,Nouadhibou,MR,2022-05-09 20:38:44,20.931,-17.0347,67.98,88,100,16.11
248,Vardo,NO,2022-05-09 20:38:44,70.3705,31.1107,35.58,80,75,2.3
249,George Town,MY,2022-05-09 20:37:54,5.4112,100.3354,85.95,93,40,2.3
250,Escarcega,MX,2022-05-09 20:38:45,18.6089,-90.7454,108.54,18,89,4.45
251,Abha,SA,2022-05-09 20:36:38,18.2164,42.5053,69.62,46,20,0.0
252,Slobidka,UA,2022-05-09 20:38:45,47.8869,29.3461,47.52,64,31,7.14
253,Vilhena,BR,2022-05-09 20:38:46,-12.7406,-60.1458,86.22,48,0,8.05
254,Nome,US,2022-05-09 20:38:46,64.5011,-165.4064,32.11,74,40,16.11
255,Amilly,FR,2022-05-09 20:34:33,47.9728,2.7719,64.06,74,51,5.32
256,Kruisfontein,ZA,2022-05-09 20:38:47,-34.0033,24.7314,52.88,72,22,5.19
257,Ormara,PK,2022-05-09 20:38:47,25.2088,64.6357,81.9,84,0,3.78
258,Altay,CN,2022-05-09 20:38:48,47.8667,88.1167,45.84,24,5,7.34
259,Deer Lake,CA,2022-05-09 20:36:25,49.1667,-57.4316,57.06,26,20,5.75
260,Isetskoye,RU,2022-05-09 20:38:49,56.4858,65.3226,50.85,42,79,7.87
261,Kavieng,PG,2022-05-09 20:38:49,-2.5744,150.7967,82.92,78,100,17.98
262,Tiarei,PF,2022-05-09 20:38:50,-17.5333,-149.3333,86.02,77,13,12.75
263,Bassano,CA,2022-05-09 20:38:50,50.7834,-112.4685,49.64,38,100,5.14
264,Buraydah,SA,2022-05-09 20:38:51,26.326,43.975,81.05,13,10,10.42
265,Kushima,JP,2022-05-09 20:38:51,31.4583,131.2333,65.68,92,100,10.87
266,Pandan Niog,PH,2022-05-09 20:38:51,6.2282,120.5631,83.17,72,100,2.73
267,Sambava,MG,2022-05-09 20:38:52,-14.2667,50.1667,74.97,89,9,5.46
268,Thabazimbi,ZA,2022-05-09 20:38:52,-24.5917,27.4116,60.26,52,0,2.37
269,Awbari,LY,2022-05-09 20:38:53,26.5921,12.7805,77.0,17,54,6.91
270,Shizuishan,CN,2022-05-09 20:39:53,39.2333,106.7694,62.49,33,32,7.52
271,Longyearbyen,SJ,2022-05-09 20:35:40,78.2186,15.6401,17.44,62,40,11.5
272,Ust-Kuyga,RU,2022-05-09 20:39:54,70.0167,135.6,11.84,92,94,3.24
273,Lodja,CD,2022-05-09 20:39:55,-3.4833,23.4333,72.57,85,91,0.83
274,Boyabat,TR,2022-05-09 20:39:55,41.4689,34.7667,46.33,84,0,1.9
275,Aykhal,RU,2022-05-09 20:39:55,66.0,111.5,9.72,94,72,7.29
276,Miyako,JP,2022-05-09 20:39:56,39.6367,141.9525,48.92,59,0,5.06
277,Lebu,CL,2022-05-09 20:39:56,-37.6167,-73.65,54.68,84,85,13.6
278,Sur,OM,2022-05-09 20:39:57,22.5667,59.5289,86.31,53,0,9.44
279,Mount Isa,AU,2022-05-09 20:39:57,-20.7333,139.5,67.77,94,75,6.91
280,Hervey Bay,AU,2022-05-09 20:39:58,-25.2986,152.8535,68.02,94,100,4.0
281,Moose Factory,CA,2022-05-09 20:39:58,51.2585,-80.6094,71.6,24,40,9.22
282,Wewak,PG,2022-05-09 20:40:00,-3.5534,143.6268,80.35,86,40,6.06
283,Talnakh,RU,2022-05-09 20:40:00,69.4865,88.3972,36.21,97,100,12.62
284,Antalaha,MG,2022-05-09 20:40:01,-14.9003,50.2788,73.78,90,32,3.6
285,Kitimat,CA,2022-05-09 20:40:01,54.0524,-128.6534,55.78,61,99,4.0
286,Zhanakorgan,KZ,2022-05-09 20:40:02,43.9098,67.2495,68.81,69,2,12.37
287,Pangnirtung,CA,2022-05-09 20:40:02,66.1451,-65.7125,24.8,86,75,18.41
288,Olafsvik,IS,2022-05-09 20:40:04,64.8945,-23.7142,39.65,83,100,20.15
289,Pisco,PE,2022-05-09 20:38:18,-13.7,-76.2167,71.65,64,59,24.16
290,Velka Bites,CZ,2022-05-09 20:40:05,49.2884,16.2274,56.35,68,17,4.16
291,Zeya,RU,2022-05-09 20:40:05,53.75,127.2667,54.18,43,100,9.19
292,Freeport,US,2022-05-09 20:36:20,40.6576,-73.5832,72.95,20,20,20.71
293,Northam,GB,2022-05-09 20:40:06,51.0333,-4.2167,58.39,90,100,13.4
